,Word,Frequency
0,"buzzfeedfoodVerified•Follow194,542",1
1,viewsbuzzfeedfoodVerifiedThis,2
2,place,5
3,in,55
4,Seattle,1
5,serves,2
6,tide-to-table,1
7,shellfish!,1
8,😱Follow,1
9,👉@bringme,3
10,for,60
11,more,14
12,foodie,7
13,spots,1
14,around,6
15,the,110
16,world!17wrichas__kitchenPls,1
17,follow,12
18,https://www.instagram.com/richas__kitchen/4dReplyattractedfoodTasty🤤🤤3dReplycanadiansconnect🔥🔥🔥🔥🔥3dReplytolife_withloveeAwesome,1
19,thanks❤️❤️❤️,1
20,👍,1
21,check,3
22,out,12
23,my,34
24,profile,2
25,and,87
26,if,7
27,you,41
28,like,18
29,content3dReplyrainndhail🔥🔥🔥🔥🔥3dReplysouth_indian_foodie💚,1
30,Love,2
31,South,1
32,India,1
33,food,12
34,💚@south_indian_foodie3dReplygoodfoodmonsterrWoahh.,1
35,That's,2
36,looks,11
37,absolutely,1
38,fabulous,1
39,😍3dReplycookzilaHey,1
40,cool,3
41,"humans,",1
42,please,2
43,page,6
44,support,2
45,it,23
46,❤️.,1
47,Just,5
48,launched,1
49,it.,3
50,Tnx,1
51,admin,1
52,🙏🏻2dReplyyummyfoodcraft007Follow,1
53,me,23
54,cooking,2
55,recipes2dReplyits_a_date_foodie#likeforlikes,1
56,#like4likes,1
57,#likeforfollow,1
58,#likeforlikeback,1
59,#follow4followback,1
60,#follow1dReplynambahjktSo,1
61,good,12
62,😍😍😍1dReplyhendrina28Love,1
63,it17hReplyFebruary,1
64,28Post,2
65,"buzzfeedfoodVerified•Follow97,057",1
66,viewsbuzzfeedfoodVerifiedAre,1
67,ready,1
68,to,69
69,get,9
70,bougie,1
71,on,14
72,a,68
73,budget?,1
74,You,4
75,can,12
76,Michelin,1
77,star,1
78,meal,1
79,Paris!,1
80,🇫🇷Follow,1
81,adventures!17wcookwithshweBeautiful?2wReplyhr26rasoicheck,1
82,link,3
83,bio,3
84,tasty,2
85,recipes2wReply69centportraitWould,1
86,any,2
87,of,55
88,69,1
89,cent,1
90,portrait?,1
91,This,6
92,is,53
93,quarantine,1
94,business,1
95,have,18
96,fun,1
97,put,2
98,lil,1
99,money,3
100,away,3
101,school,1
102,😭💖2w1,1
103,likeReply_foodaster_Follow,1
104,mouth,1
105,watering,1
106,recipes1wReplymariamsh12Please,1
107,help,2
108,reach,1
109,1k,1
110,subscribers,1
111,🙏,2
112,https://www.youtube.com/user/mariamm161wReplysimplenutrition247🤩🤩1wReplyvegcomaPlease,1
113,@vegcoma,1
114,vegetarian,1
115,recipes!1wReplynycbakerydirectOmg!!1wReplygraussweetsensation❤️❤️6dReplyindiantravellerjiWow.👍6dReplyqibtiyah_naveedLuks,1
116,amazing,3
117,keep,3
118,up,7
119,hard,1
120,work❤️❤️🤤4dReplytravelers_in_tastingSuch,1
121,fantastic,1
122,desserts,2
123,😍3dReplyFebruary,1
124,27Post,1
125,"buzzfeedfoodVerified•Follow109,913",1
126,viewsbuzzfeedfoodVerifiedWhy,1
127,aren't,1
128,following,1
129,@bringme,7
130,yet?!,1
131,🍜Follow,1
132,adventures!,2
133,🌍✈️25wdonut_review_worldwideDM,1
134,picture,3
135,"donuts,",1
136,we,12
137,rate,1
138,them,3
139,post,1
140,them.,1
141,agree,1
142,or,12
143,disagree,1
144,but,20
145,never,1
146,slander,1
147,donuts,1
148,🍩🙌🏼10w1,1
149,likeReplyhungry_italiansyuum10w2,1
150,likesReplynoturcloutchaser.assiNo,1
151,ichiraku,1
152,has,5
153,da,1
154,best,17
155,ramen9w1,1
156,likeReplyfooddrivenmindsIn,1
157,Japan,1
158,Ramen,1
159,another,1
160,world,1
161,🌐8w1,1
162,likeReplycleanyourplaterxMmmmmm,1
163,drooling7w1,1
164,likeReplyits_smriti_babeHey,2
165,I,48
166,really,9
167,ur,4
168,content,2
169,plz,2
170,u,7
171,ones6w1,1
172,ones6wReplytheofficialfwordAhh,1
173,love,8
174,ramen,1
175,😍😍5w1,1
176,likeReplybetterme.weightloss_🔥🔥🔥🔥🔥🔥3wReplyfood.and.worldtravelThe,1
177,Gastronaut,1
178,waiting,2
179,search,1
180,new,9
181,world!3wReplyabhishekchaharhttps://youtu.be/DbXnjyj6iaI2wReplynycbakerydirectWow!1wReplyJanuary,1
182,3Post,1
183,"buzzfeedfoodVerified•Follow279,953",1
184,viewsbuzzfeedfoodVerifiedBrazil,1
185,makes,3
186,cheesiest,1
187,chili,1
188,cheeseburgers!,1
189,😋🍔Follow,1
190,more!25wchikaygamboaGutom,1
191,na,3
192,ko,1
193,@eenamag3w1,1
194,likeReplyView,102
195,replies,232
196,(1)primaldoughYummy😍2wReplychefkrishnenduWow👍👍2wReplyrosebud_810@izzynathan2w1,1
197,likeReply_3ybp_Super,1
198,burger,5
199,OMG!!2w1,1
200,likeReplythecondimentqueensGetting,1
201,VERY,1
202,saucey1wReplybudmother_official🤤🤤🤤🤤1w1,1
203,likeReplymona.rchy_here😍1wReplytashascarlet@corrie_20,1
204,🤤1wReplyindiantravellerjiAmazing,1
205,👍6dReplycharaf_majidi@ahlamboumajdi,1
206,hmmmmm3d1,1
207,(1)rosieskitchentimeFood,1
208,Inspos!,1
209,Check,1
210,page!14hReplyJanuary,1
211,2Post,1
212,"buzzfeedfoodVerified•Follow173,105",1
213,viewsbuzzfeedfoodVerifiedMove,1
214,over,5
215,"Italy,",1
216,Vancouver,1
217,might,1
218,world's,1
219,gelato!,1
220,🍨What's,1
221,your,20
222,favorite,2
223,gelato,1
224,flavor?,1
225,Follow,2
226,mouthwatering,1
227,adventures,4
228,globe!,2
229,🌎26wcommesoieOh,1
230,yum!,1
231,so,27
232,delicious.,1
233,😋9w1,1
234,(1)marianagoyenechea@shaikhyshaikhy,1
235,@estella.dk_,1
236,we’ll,1
237,go,6
238,near,2
239,future9w3,1
240,likesReplyView,120
241,(1)cooking_blog101Follow,1
242,account,2
243,simple,2
244,easy,2
245,multi-cusine,1
246,recipes,7
247,#MADDYCOOKS💞8wReplybhappybaker😍😍😍😍😍6wReplytheofficialfword😍🤤5wReplysweetandspicy.byjFollow,1
248,@sweetandspicy.byj,2
249,yummy,4
250,everyday!😍5wReplythemoodyblonde🤤🤤🤤🤤3wReplyluthfiabudzarg@frintiana3wReplyView,1
251,(18)fancyfeet393YUM3wReplysuperlechonphNah...,1
252,Still,1
253,Italy2wReplythe_lazyycookWow2wReplytamia_b2@taibryn_basisky,1
254,omg,1
255,wish,2
256,still,12
257,lived,1
258,there,2
259,😭😭2wReplyJanuary,1
260,1Post,1
261,"buzzfeedfoodVerified•Follow124,232",1
262,viewsbuzzfeedfoodVerifiedSushi,1
263,+,1
264,sustainability,1
265,=,1
266,dream,1
267,come,5
268,true!,1
269,🍣Follow,1
270,world!,2
271,✈️.....#bringme,1
272,#portlandtravel,1
273,#sushirestuarant,1
274,#sushi,1
275,#oregontravel,1
276,#sustainability26wdaniel_brenisBest,1
277,👉🏽,1
278,@ftlof1016w2,1
279,likesReply_itz_my_world_bitchezHey,1
280,guys,1
281,some,5
282,pics,1
283,@beauty_full_food5w1,1
284,likeReplythestallyshowIf,1
285,you’re,5
286,reading,1
287,"this,",1
288,channel.,1
289,cook,2
290,Caribbean,1
291,stuff,1
292,😀4w1,1
293,(1)foodie_lifexThis,1
294,needs,1
295,bucket,1
296,list,1
297,sure!4w1,1
298,(1)food_the_fascinationHi,1
299,✌️,1
300,just,10
301,created,1
302,this,45
303,instagram.,2
304,It,1
305,would,8
306,mean,2
307,lot,4
308,Thank,2
309,y’all,2
310,😍❤️3w1,1
311,likeReply_jentre_heyyyhttps://youtu.be/C3hOSBFJdBo3wReplyprimaldough😨😨😨🤤🤤🤤🤤2wReplyin_spirantPlease,1
312,plenty,2
313,recipes2wReplyView,1
314,(2)the_lazyycook❤️❤️2wReplyscuruchiVerified❤️2wReplyView,1
315,(1)indiantravellerji❤️❤️❤️6dReplyissafif11@adriana_melhem,1
316,@grazieelmelhem4d1,1
317,(2)December,1
318,"31,",1
319,2019Post,5
320,"buzzfeedfoodVerified•Follow125,003",1
321,viewsbuzzfeedfoodVerifiedThese,1
322,are,19
323,cheesecake,2
324,tea,1
325,cups,2
326,I'll,2
327,take,5
328,one,12
329,EVERYTHING.,1
330,😍🍰Follow,1
331,✈️27wbooboobeleits,1
332,good2w1,1
333,likeReplyglitzycupcakeslaAMAZING,1
334,✨🧁2wReplythe_lazyycookThis,1
335,awesome2wReplysilent_knight_000Food,1
336,art,1
337,lovers,1
338,@hiyaar_majhe,1
339,❤️2wReplyhouserestooYum🔥1wReplybudmother_official😍😍🤤🤤1wReplyaka__mithrandirFollow,1
340,:,4
341,@that_cooking_chic,1
342,exclusive,2
343,recipes1w1,1
344,likeReply4forkspearsWow,1
345,😋,5
346,need,8
347,this.,1
348,Please,2
349,"check,",1
350,@4forkspears1wReplyvickie_nights👏3dReply___kanika_sharma@1_dm_,1
351,kb,1
352,khae??2d1,1
353,(1)vello_2020My,1
354,stomachs,1
355,growling,1
356,now17hReplyhendrina28So,1
357,delicious17hReplyDecember,1
358,"22,",1
359,"buzzfeedfoodVerified•Follow78,560",1
360,pickle,1
361,beer,1
362,flights,1
363,with,29
364,southern,1
365,twist!,1
366,🍻Follow,1
367,all,17
368,✈️27wszzlteaGood,1
369,restaurant15wReplyView,1
370,(1)emilyy_mac@itsdickison14wReply692mommyshark@dianapphillipss,1
371,favvv13w1,1
372,(2)foodunterWowww!!,1
373,So,2
374,😁9wReplyindigenousmama_The,1
375,nasty,1
376,lol9wReplydanielleruckert@julgilbride,1
377,next,2
378,time,7
379,I’m,6
380,nyc,1
381,here??8wReply162frank@samantha_anne6136wReplybeerbiryani2020For,1
